stage,patch_lookup_path,last_removal_step,alive_end,removed_end,area_retained_km2,area_removed_km2,cells_removed_stage,area_removed_stage_km2,events_in_stage,prop_cells_removed_end,prop_area_removed_end,pct_cells_removed_end,pct_area_removed_end
0,,0,2132414,0,191349.295604099,0,0,0,0,0,0,0,0
1,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0001.csv,102,2031153,101261,182271.941321541,9077.35428255848,101261,9077.35428255848,102,0.0474865574883676,0.0474386605600027,4.74865574883676,4.74386605600027
2,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0002.csv,203,1930898,201516,173238.571911788,18110.723692311,100255,9033.36940975255,101,0.0945013491751602,0.0946474542021939,9.45013491751602,9.46474542021939
3,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0003.csv,305,1830871,301543,164170.45937233,27178.8362317693,100027,9068.11253945825,102,0.141409219785651,0.142037816998303,14.1409219785651,14.2037816998303
4,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0004.csv,407,1730767,401647,155189.021724678,36160.2738794212,100104,8981.43764765194,102,0.188353199706999,0.188975212922846,18.8353199706999,18.8975212922846
5,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0005.csv,509,1630659,501755,146167.338282102,45181.9573219974,100108,9021.68344257622,102,0.235299055436702,0.236122935176509,23.5299055436702,23.6122935176509
6,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0006.csv,610,1530602,601812,137253.911908567,54095.383695532,100057,8913.4263735346,101,0.282220994609865,0.282704901132509,28.2220994609865,28.2704901132509
7,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0007.csv,711,1430572,701842,128395.383075663,62953.9125284357,100030,8858.52883290368,101,0.329130272076623,0.328999970079258,32.9130272076623,32.8999970079258
8,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0008.csv,812,1330561,801853,119577.436897414,71771.858706685,100011,8817.9461782493,101,0.37603063945369,0.37508295225283,37.603063945369,37.508295225283
9,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0009.csv,914,1230523,901891,110760.878665423,80588.4169386759,100038,8816.55823199092,102,0.42294366853716,0.421158680957013,42.294366853716,42.1158680957013
10,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0010.csv,1015,1130505,1001909,101798.701281092,89550.5943230076,100018,8962.17738433163,101,0.46984731857885,0.467995421881706,46.984731857885,46.7995421881706
11,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0011.csv,1117,1030442,1101972,92901.6083111003,98447.6872929988,100063,8897.09296999122,102,0.516772071464547,0.514492028738306,51.6772071464547,51.4492028738306
12,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0012.csv,1218,930380,1202034,83843.6762429373,107505.619361162,100062,9057.93206816306,101,0.563696355398155,0.561829187934878,56.3696355398155,56.1829187934878
13,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0013.csv,1319,829933,1302481,74781.1715251555,116568.124078944,100447,9062.50471778175,101,0.610801185886043,0.60919024400342,61.0801185886043,60.919024400342
14,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0014.csv,1420,729594,1402820,65822.6752952006,125526.620308899,100339,8958.49622995489,101,0.657855369548315,0.656007747050256,65.7855369548315,65.6007747050256
15,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0015.csv,1522,629503,1502911,56811.1817170087,134538.11388709,100091,9011.49357819196,102,0.704793253092505,0.703102216615677,70.4793253092505,70.3102216615677
16,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0016.csv,1623,529474,1602940,47781.9911933684,143567.304410731,100029,9029.19052364025,101,0.751702061607174,0.75028917121164,75.1702061607174,75.028917121164
17,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0017.csv,1724,429336,1703078,38859.7668188178,152489.528785281,100138,8922.22437455058,101,0.798661985899549,0.796917115915501,79.8661985899549,79.6917115915501
18,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0018.csv,1825,329304,1803110,29862.7277489441,161486.567855155,100032,8997.0390698737,101,0.845572201270485,0.843936045572229,84.5572201270485,84.3936045572229
19,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0019.csv,1926,228979,1903435,20800.6365822783,170548.659021821,100325,9062.09116666585,101,0.89261981960351,0.891294940404094,89.261981960351,89.1294940404094
20,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0020.csv,2027,128940,2003474,11666.4244270574,179682.871177042,100039,9134.21215522084,101,0.93953331763907,0.939030742756455,93.953331763907,93.9030742756455
21,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0021.csv,2129,28585,2103829,2587.88966271689,188761.405941382,100355,9078.53476434052,102,0.986595004534767,0.98647557256719,98.6595004534767,98.647557256719
22,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0022.csv,2154,4345,2128069,397.760679234547,190951.534924865,24240,2190.12898348234,25,0.997962403173118,0.997921284852506,99.7962403173118,99.7921284852506
