combo,mass_idx,mass_g,curve,K,p_eval
0_0_100,1,2,q025,70431,0.0104
0_0_100,1,2,q025,143836,0.03157
0_0_100,1,2,q025,237165,0.05839
0_0_100,1,2,q025,355667,0.08635
0_0_100,1,2,q025,505252,0.12181
0_0_100,1,2,q025,693117,0.14557
0_0_100,1,2,q025,928189,0.17352
0_0_100,1,2,q025,1221629,0.19677
0_0_100,1,2,q025,1587475,0.2259
0_0_100,1,2,q025,2043486,0.25512
0_0_100,1,2,q025,2612253,0.28351
0_0_100,1,2,q025,3322696,0.3072
0_0_100,1,2,q025,4212095,0.33275
0_0_100,1,2,q025,5328851,0.35827
0_0_100,1,2,q025,6736310,0.38374
0_0_100,1,2,q025,8518099,0.41075
0_0_100,1,2,q025,10785664,0.44052
0_0_100,1,2,q025,13689064,0.46726
0_0_100,1,2,q025,17432640,0.49293
0_0_100,1,2,q025,22298122,0.51678
0_0_100,1,2,q025,28679285,0.539
0_0_100,1,2,q025,37134880,0.56302
0_0_100,1,2,q025,48471192,0.586
0_0_100,1,2,q025,63873735,0.60473
0_0_100,1,2,q025,85122756,0.62674
0_0_100,1,2,q025,114956099,0.65066
0_0_100,1,2,q025,157700274,0.66959
0_0_100,1,2,q025,220409211,0.69318
0_0_100,1,2,q025,315008408,0.712
0_0_100,1,2,q025,462537285,0.73478
0_0_100,1,2,q025,702049168,0.76116
0_0_100,1,2,q025,1110642444,0.78581
0_0_100,1,2,q025,1852599812,0.80863
0_0_100,1,2,q025,3313715116,0.83233
0_0_100,1,2,q025,6523974982,0.85476
0_0_100,1,2,q025,14768780771,0.88273
0_0_100,1,2,q025,41720779526,0.90637
0_0_100,1,2,q025,176722696644,0.94273
0_0_100,1,2,q025,2016556969709,0.96719
0_0_100,1,2,q025,48770881795262,0.98794
0_0_100,1,2,q16,27025,0.0172
0_0_100,1,2,q16,41295,0.041776
0_0_100,1,2,q16,55611,0.068
0_0_100,1,2,q16,70805,0.094976
0_0_100,1,2,q16,87305,0.121584
0_0_100,1,2,q16,105447,0.147408
0_0_100,1,2,q16,125552,0.174976
0_0_100,1,2,q16,147964,0.202752
0_0_100,1,2,q16,173064,0.235184
0_0_100,1,2,q16,201292,0.261008
0_0_100,1,2,q16,233163,0.285392
0_0_100,1,2,q16,269285,0.313552
0_0_100,1,2,q16,310384,0.34208
0_0_100,1,2,q16,357335,0.362576
0_0_100,1,2,q16,411203,0.386976
0_0_100,1,2,q16,473287,0.412752
0_0_100,1,2,q16,545194,0.435904
0_0_100,1,2,q16,628924,0.460176
0_0_100,1,2,q16,726990,0.483776
0_0_100,1,2,q16,842583,0.508352
0_0_100,1,2,q16,979801,0.527152
0_0_100,1,2,q16,1143971,0.55712
0_0_100,1,2,q16,1342109,0.581824
0_0_100,1,2,q16,1583599,0.606032
0_0_100,1,2,q16,1881202,0.630032
0_0_100,1,2,q16,2252604,0.654976
0_0_100,1,2,q16,2722851,0.678512
0_0_100,1,2,q16,3328293,0.70128
0_0_100,1,2,q16,4123220,0.725008
0_0_100,1,2,q16,5191469,0.745632
0_0_100,1,2,q16,6667772,0.771056
0_0_100,1,2,q16,8779320,0.793552
0_0_100,1,2,q16,11932693,0.815296
0_0_100,1,2,q16,16912487,0.842608
0_0_100,1,2,q16,25390316,0.86824
0_0_100,1,2,q16,41447645,0.891952
0_0_100,1,2,q16,77271668,0.919504
0_0_100,1,2,q16,183682968,0.94376
0_0_100,1,2,q16,791165042,0.969376
0_0_100,1,2,q16,5347440435,0.987152
0_0_100,1,2,q50,9223,0.0226
0_0_100,1,2,q50,11501,0.0478
0_0_100,1,2,q50,13436,0.0716
0_0_100,1,2,q50,15250,0.0964
0_0_100,1,2,q50,17024,0.1222
0_0_100,1,2,q50,18803,0.1486
0_0_100,1,2,q50,20616,0.1738
0_0_100,1,2,q50,22484,0.2002
0_0_100,1,2,q50,24427,0.2276
0_0_100,1,2,q50,26462,0.2532
0_0_100,1,2,q50,28607,0.2772
0_0_100,1,2,q50,30880,0.306
0_0_100,1,2,q50,33301,0.3284
0_0_100,1,2,q50,35891,0.3552
0_0_100,1,2,q50,38676,0.3806
0_0_100,1,2,q50,41685,0.405
0_0_100,1,2,q50,44949,0.4288
0_0_100,1,2,q50,48509,0.454
0_0_100,1,2,q50,52411,0.4788
0_0_100,1,2,q50,56709,0.5028
0_0_100,1,2,q50,61472,0.5266
0_0_100,1,2,q50,66782,0.5528
0_0_100,1,2,q50,72742,0.5758
0_0_100,1,2,q50,79481,0.5994
0_0_100,1,2,q50,87162,0.6244
0_0_100,1,2,q50,95999,0.6466
0_0_100,1,2,q50,106273,0.6716
0_0_100,1,2,q50,118359,0.6962
0_0_100,1,2,q50,132778,0.7226
0_0_100,1,2,q50,150262,0.7438
0_0_100,1,2,q50,171884,0.7678
0_0_100,1,2,q50,199270,0.794
0_0_100,1,2,q50,235012,0.8208
0_0_100,1,2,q50,283495,0.846
0_0_100,1,2,q50,352757,0.869
0_0_100,1,2,q50,459207,0.8966
0_0_100,1,2,q50,642143,0.9236
0_0_100,1,2,q50,1023581,0.9478
0_0_100,1,2,q50,2247575,0.9726
0_0_100,1,2,q50,6292057,0.9888
0_0_100,2,2.66695724552935,q025,51213,0.00919
0_0_100,2,2.66695724552935,q025,100686,0.02957
0_0_100,2,2.66695724552935,q025,161717,0.05557
0_0_100,2,2.66695724552935,q025,237453,0.08589
0_0_100,2,2.66695724552935,q025,331231,0.1195
0_0_100,2,2.66695724552935,q025,447017,0.14786
0_0_100,2,2.66695724552935,q025,589661,0.17862
0_0_100,2,2.66695724552935,q025,765158,0.20454
0_0_100,2,2.66695724552935,q025,980973,0.23242
0_0_100,2,2.66695724552935,q025,1246453,0.25059
0_0_100,2,2.66695724552935,q025,1573374,0.27945
0_0_100,2,2.66695724552935,q025,1976672,0.30115
0_0_100,2,2.66695724552935,q025,2475409,0.32636
0_0_100,2,2.66695724552935,q025,3094094,0.35118
0_0_100,2,2.66695724552935,q025,3864492,0.37748
0_0_100,2,2.66695724552935,q025,4828116,0.40325
0_0_100,2,2.66695724552935,q025,6039731,0.42956
0_0_100,2,2.66695724552935,q025,7572308,0.45839
0_0_100,2,2.66695724552935,q025,9524169,0.4833
0_0_100,2,2.66695724552935,q025,12029395,0.51578
0_0_100,2,2.66695724552935,q025,15273299,0.53714
0_0_100,2,2.66695724552935,q025,19515802,0.56194
0_0_100,2,2.66695724552935,q025,25127494,0.58582
0_0_100,2,2.66695724552935,q025,32646513,0.60395
0_0_100,2,2.66695724552935,q025,42870514,0.62556
0_0_100,2,2.66695724552935,q025,57009596,0.64716
0_0_100,2,2.66695724552935,q025,76948783,0.66987
0_0_100,2,2.66695724552935,q025,105715091,0.69149
0_0_100,2,2.66695724552935,q025,148343963,0.71192
0_0_100,2,2.66695724552935,q025,213566410,0.739
0_0_100,2,2.66695724552935,q025,317287861,0.76071
